Date,Open,High,Low,Close,Adj Close,Volume
4/10/2003,64.0625,64.0625,47.171875,47.652344,33.832359,211021376
4/11/2003,45.125,45.125,35.9375,41.458591,29.434902,276615040
4/14/2003,41.458591,41.458591,41.458591,41.458591,29.434902,0
4/15/2003,42.96875,45.526562,42.96875,44.682812,31.724045,151209472
4/16/2003,44.276562,47.5625,44.276562,47.257813,33.552246,115537088
4/17/2003,44.921875,46.53125,44.0625,46.303123,32.874443,98323200
4/18/2003,46.303123,46.303123,46.303123,46.303123,32.874443,0
4/21/2003,47.265625,47.5,45.628124,45.821877,32.532768,56817536
4/22/2003,46.057812,46.15625,44.734375,45.620312,32.389656,60418304
4/23/2003,46.28125,46.5,44.770313,45.046875,31.982523,48633472
4/24/2003,44.795311,46.84375,44.53125,45.278908,32.14727,75865728
4/25/2003,44.84375,45.890625,44.39922,45.467186,32.280933,35400448
4/28/2003,45.472656,45.734375,44.84375,45.200783,32.091801,38235776
4/29/2003,45.9375,46.09375,44.317188,44.802341,31.808903,43982080
4/30/2003,44.53125,44.671875,43.015625,43.540627,30.913107,51476352
5/1/2003,43.540627,43.540627,43.540627,43.540627,30.913107,0
5/2/2003,44.042187,45.78125,43.90625,45.534374,32.32864,63601792
5/5/2003,44.0625,46.703125,44.0625,46.037498,32.685852,50768960
5/6/2003,46.078125,47.96875,45.210938,46.590626,33.078568,88804352
5/7/2003,46.5625,47.46875,46.359375,47.242188,33.541161,55778368
5/8/2003,46.715626,47.870312,46.208591,46.496876,33.012005,52410880
5/9/2003,46.09375,46.404686,45.414845,45.721874,32.461761,41512768
5/12/2003,46.21875,46.328907,43.049999,43.473438,30.865416,72951360
5/13/2003,43.90625,45.232811,43.90625,44.915627,31.889343,42925440
5/14/2003,44.84375,45.296875,44.265625,44.771873,31.787266,38633408
5/15/2003,45,45.214062,44.296875,45.056252,31.989174,36534016
5/16/2003,45.928123,46.950001,45.427341,46.782032,33.214458,60834304
5/19/2003,47.28125,47.609375,43.360935,43.605469,30.959141,97496320
5/20/2003,43.5625,44.9375,42.599216,44.589062,31.65748,83440448
5/21/2003,44.984375,45.671875,43.285938,43.567188,30.931965,82427008
5/22/2003,43.4375,43.4375,41.717968,42.042187,29.849245,67289216
5/23/2003,42.378906,42.71875,40.625,40.8125,28.976185,84907968
5/26/2003,40.912498,41.526562,40.171875,41.138283,29.207487,51406784
5/27/2003,41.015625,42.078125,40.40625,40.820313,28.981739,58359424
5/28/2003,41.435936,43.125,41.193748,42.909374,30.634962,67304960
5/29/2003,42.909374,43.979687,42.442188,43.275002,30.896011,68530560
5/30/2003,43.421875,43.578125,41.578907,41.784374,29.831776,48566848
6/2/2003,42.96875,44.140625,42.346092,43.919533,31.356169,44774080
6/3/2003,44.5,44.5,42.1875,42.589062,30.406275,48931648
6/4/2003,43.046875,43.59375,42.890625,43.186718,30.832966,34656832
6/5/2003,44.173435,45.296875,44.173435,44.684376,31.90222,51236992
6/6/2003,45.03125,46.639843,44.999218,46.077343,32.896717,58527936
6/9/2003,45.34375,46.859375,45,46.383595,33.115364,40497024
6/10/2003,46.09375,46.295311,44.703125,44.923435,32.072895,51281472
6/11/2003,45.473438,46.46875,45.226563,45.919533,32.784065,67313600
6/12/2003,46.285156,46.640625,46.053123,46.404686,33.130428,38948288
6/13/2003,46.546875,46.6875,45.782032,46.424217,33.144371,50022016
6/16/2003,45.932812,46.078125,45.207813,45.578907,32.540863,34414400
6/17/2003,46.644531,48.4375,46.644531,48.321877,34.499191,71782848
6/18/2003,48.34375,48.435158,47.462502,47.870312,34.1768,47006144
6/19/2003,47.265625,47.8125,47.203125,47.549999,33.948128,23553536
6/20/2003,45.78125,48.4375,45.78125,47.723438,34.071941,54427072
6/23/2003,48.052341,49.051563,47.734375,48.353905,34.522064,60149312
6/24/2003,47.28125,49.414063,47.28125,49.131248,35.077053,73830848
6/25/2003,49.235935,49.589062,48.765625,49.075001,35.036896,43754368
6/26/2003,49.070313,50.983593,49.070313,50.609375,36.132343,66023040
